    77  7444.7489  7446.7993 13428.5880 ThI        57.925   58.069   58.213   54.499   54.643   54.787
    77  7447.8488  7449.9000 13422.9989 ThI        59.447   59.591   59.735   54.495   54.639   54.783
    78  7242.0929  7244.0887 13804.3589 ThI         7.142    7.286    7.430   52.807   52.951   53.095
    78  7244.6965  7246.6930 13799.3979 ThI         8.315    8.459    8.603   52.864   53.008   53.152
    78  7265.1724  7267.1744 13760.5065 ArI        17.511   17.778   18.080   53.274   53.418   53.562
    78  7272.9359  7274.9400 13745.8179 ArI        21.064   21.357   21.668   53.410   53.554   53.698
    78  7284.9033  7286.9106 13723.2368 ThI        26.741   26.925   27.081   53.596   53.740   53.884
    78  7311.7145  7313.7290 13672.9156 ArI        39.482   39.626   39.770   53.901   54.045   54.189
    78  7316.0050  7318.0207 13664.8971 ArI        41.547   41.691   41.835   53.936   54.080   54.224
    78  7324.8073  7326.8254 13648.4760 ThI        45.814   45.958   46.102   53.995   54.139   54.283
    78  7328.2850  7330.3040 13641.9990 ThI        47.511   47.655   47.799   54.014   54.158   54.302
    78  7341.1515  7343.1740 13618.0895 ThI        53.845   53.989   54.133   54.060   54.204   54.348
    79  7147.0416  7149.0117 13987.9474 ArI         5.514    5.717    5.977   52.286   52.430   52.574
    79  7148.1451  7150.1155 13985.7880 Th          6.076    6.220    6.364   52.312   52.456   52.600
    79  7148.5571  7150.5277 13984.9819 ThI         6.263    6.407    6.551   52.321   52.465   52.609
    79  7150.2844  7152.2554 13981.6036 ThI         6.960    7.194    7.406   52.360   52.504   52.648
    79  7158.8387  7160.8120 13964.8967 ArI        10.807   11.108   11.405   52.547   52.691   52.835
    79  7168.8952  7170.8712 13945.3069 ThI        15.472   15.745   16.117   52.751   52.895   53.039
    79  7173.3725  7175.3497 13936.6029 ThI        17.611   17.824   18.034   52.836   52.980   53.124
    79  7191.1328  7193.1148 13902.1832 ThII       25.948   26.158   26.417   53.134   53.278   53.422
    79  7200.0454  7202.0298 13884.9744 ThI        30.265   30.392   30.628   53.258   53.402   53.546
    79  7202.1910  7204.1760 13880.8380 Th         31.272   31.416   31.560   53.285   53.429   53.573
    79  7206.4830  7208.4692 13872.5710 ThI        33.328   33.472   33.616   53.336   53.480   53.624
    79  7206.9809  7208.9672 13871.6126 ArI        33.565   33.711   33.946   53.342   53.486   53.630
    79  7208.0063  7209.9929 13869.6392 ThI        34.014   34.203   34.460   53.353   53.497   53.641
    79  7212.6896  7214.6774 13860.6335 ThI        36.283   36.459   36.652   53.403   53.547   53.691
    79  7218.0515  7220.0408 13850.3373 ThI        38.913   39.056   39.229   53.454   53.598   53.742
    79  7219.1515  7221.1411 13848.2269 ThI        39.446   39.590   39.734   53.464   53.608   53.752
    79  7242.0929  7244.0887 13804.3589 ThI        50.744   50.888   51.032   53.608   53.752   53.896
    79  7244.6965  7246.6930 13799.3979 ThI        52.044   52.188   52.332   53.616   53.760   53.904
    80  7060.0417  7061.9883 14160.3179 ThI         6.622    6.766    6.910   51.895   52.039   52.183
    80  7060.6538  7062.6007 14159.0902 ThI         6.932    7.049    7.254   51.909   52.053   52.197
    80  7064.4515  7066.3994 14151.4786 ThI         8.660    8.804    8.948   51.995   52.139   52.283
    80  7067.2181  7069.1667 14145.9388 ArI         9.590   10.087   10.575   52.056   52.200   52.344
    80  7068.7358  7070.6848 14142.9016 ArI        10.548   10.791   11.099   52.090   52.234   52.378
    80  7072.3939  7074.3439 14135.5864 ThI        12.349   12.493   12.637   52.168   52.312   52.456
    80  7075.3336  7077.2844 14129.7134 ThII       13.722   13.866   14.010   52.229   52.373   52.517
    80  7084.1690  7086.1222 14112.0908 ThI        17.750   18.013   18.266   52.402   52.546   52.690
    80  7089.3395  7091.2941 14101.7985 ThII       20.312   20.456   20.600   52.496   52.640   52.784
    80  7147.0416  7149.0117 13987.9474 ArI        48.372   48.575   48.835   53.151   53.295   53.439
    80  7148.1451  7150.1155 13985.7880 Th         48.986   49.130   49.274   53.156   53.300   53.444
    80  7148.5571  7150.5277 13984.9819 ThI        49.193   49.337   49.481   53.158   53.302   53.446
    80  7150.2844  7152.2554 13981.6036 ThI        49.973   50.207   50.419   53.166   53.310   53.454
    80  7158.8387  7160.8120 13964.8967 ArI        54.241   54.541   54.839   53.192   53.336   53.480
    80  7168.8952  7170.8712 13945.3069 ThI        59.404   59.678   60.049   53.196   53.340   53.484
    81  6965.4307  6967.3519 14352.6552 ArI         2.680    3.264    3.935   51.266   51.410   51.554
    81  6989.6553  6991.5830 14302.9125 ThI        14.303   14.628   15.018   51.817   51.961   52.105
    81  6993.0371  6994.9657 14295.9957 ThII       16.119   16.233   16.454   51.886   52.030   52.174
    81  7002.8829  7004.8142 14275.8961 ThI        20.712   20.938   21.204   52.071   52.215   52.359
    81  7060.0417  7061.9883 14160.3179 ThI        49.027   49.171   49.315   52.718   52.862   53.006
    81  7060.6538  7062.6007 14159.0902 ThI        49.365   49.483   49.688   52.721   52.865   53.009
    81  7064.4515  7066.3994 14151.4786 ThI        51.279   51.423   51.567   52.736   52.880   53.024
    81  7067.2181  7069.1667 14145.9388 ArI        52.346   52.842   53.331   52.745   52.889   53.033
    81  7068.7358  7070.6848 14142.9016 ArI        53.378   53.622   53.930   52.750   52.894   53.038
    81  7072.3939  7074.3439 14135.5864 ThI        55.363   55.507   55.651   52.757   52.901   53.045
    81  7075.3336  7077.2844 14129.7134 ThII       56.882   57.026   57.170   52.760   52.904   53.048
    82  6911.2264  6913.1330 14465.2215 ThI        17.592   17.877   18.208   51.507   51.651   51.795
    82  6916.1289  6918.0368 14454.9679 ThI        20.039   20.251   20.508   51.600   51.744   51.888
    82  6942.5380  6944.4531 14399.9821 ThI        33.032   33.233   33.407   52.007   52.151   52.295
